rank,agent,kd,kills,deaths,assists,win_rate,pick_rate,avg_score,matches,episode,act,placement
22,Harbor,0.91,13.9,15.2,5.6,0.46,0.006,192,67976,e8,act2,platinum2
23,Iso,1.01,16.3,16.1,4.1,0.457,0.01,229,108658,e8,act2,platinum2
24,KAY/O,0.91,14.0,15.5,8.7,0.454,0.025,200,262342,e8,act2,platinum2
1,Clove,0.96,16.7,17.5,6.7,0.517,0.001,233,7793,e8,act2,platinum1
2,Phoenix,1.1,17.0,15.4,4.5,0.508,0.03,238,357693,e8,act2,platinum1
3,Brimstone,0.96,14.2,14.9,8.3,0.505,0.036,203,433192,e8,act2,platinum1
4,Reyna,1.14,17.7,15.5,4.2,0.502,0.109,245,1306642,e8,act2,platinum1
5,Sage,0.91,13.5,14.9,6.9,0.502,0.059,188,707089,e8,act2,platinum1
6,Deadlock,0.99,14.8,14.9,4.1,0.498,0.011,201,136737,e8,act2,platinum1
7,Sova,0.98,14.3,14.6,5.3,0.498,0.053,200,640714,e8,act2,platinum1
8,Gekko,0.92,13.8,14.9,4.9,0.498,0.05,189,601115,e8,act2,platinum1
9,Viper,1.0,14.6,14.6,5.1,0.498,0.048,202,573141,e8,act2,platinum1
10,Cypher,1.0,14.4,14.4,4.7,0.495,0.082,196,978417,e8,act2,platinum1
11,Jett,1.09,17.3,15.8,3.5,0.495,0.103,239,1241295,e8,act2,platinum1
12,Chamber,1.1,16.4,14.8,3.1,0.494,0.049,222,592800,e8,act2,platinum1
13,Astra,1.02,15.0,14.7,6.1,0.492,0.011,206,136959,e8,act2,platinum1
14,Killjoy,0.99,14.2,14.4,3.5,0.491,0.039,197,463109,e8,act2,platinum1
15,Raze,1.03,16.4,15.9,4.4,0.491,0.069,235,829732,e8,act2,platinum1
16,Fade,0.94,14.1,15.0,6.2,0.491,0.018,195,217314,e8,act2,platinum1
17,Skye,0.94,14.1,15.1,7.1,0.489,0.038,196,452788,e8,act2,platinum1
18,Omen,0.98,14.8,15.1,6.5,0.487,0.099,203,1185314,e8,act2,platinum1
19,Breach,0.93,14.2,15.3,6.4,0.48,0.022,198,260616,e8,act2,platinum1
